"cod_comercial"|"nom_comercial"|"val_preco_sugerido"
"12186"|"FILE DE PEITO CG  ENVEL  19,5 KG FRIATO"|9.8
"103251"|"PALETA S/MUSCULO RESF FRIBEV"|21
"103236"|"COSTELA DO TRASEIRO MINGA CONG FRIBEV"|17.9
"103256"|"ALCATRA COMPLETA GRILL RESF IGUATEMI"|35.9
"592"|"PALETA S/MUSCULO CARNE RESFR  BOV S/OSSO"|26.8
"103146"|"COSTELA DO DIANTEIRO C/O GOURMET CONG BEST BEEF"|32.5
"102584"|"BARRIGA SUINA S/O C/PELE UNIBON"|18.99
"102431"|"COXINHA DA ASA ENV GONG 20KG LAR"|10.5
"103174"|"PICANHA A ATE 1,400KG IGUATEMI"|42
"103182"|"RECORTE DIAFRAGMA LOMBINHO CONG MONTANA MARFRIG"|20.8
"103155"|"CONTRA FILE C/O S/N PARA BISTECA ASTRA"|26.8
"105"|"MOCOTO DE BOI"|9.8
"102987"|"LINGUICA DE COSTELA ANGUS CONG 400G CARAPRETA"|28.5
"12175"|"FILEZINHO DE FRANGO BAITA FENIX"|15
"11338"|"PERNIL TEMP  S/OSSO FRICASA"|14.9
"102433"|"FILEZINHO SASSAMI CONG  ENV 18KG C VALE"|8.8
"3572"|"FILE DE PEITO INT CG CX 18 KG C VALE"|9.6
"102722"|"POSTA DE TILAPIA CONG 16X800G C VALE"|16.2
"103241"|"BACON EXTRA LOMBO FATIADO DALIA"|26
"11279"|"MANTEIGA EXTRA COM SAL 200GRS SAO LEOPOLDO"|19
"102806"|"CONTRA FILE PORCIONADO RESF MATABOI"|30.5
"11524"|"PEITO CONGELADO"|7.1
"103266"|"CUPIM GRILL CONG BIG BOI"|29.99
"11147"|"COSTELA S/O C/PELE TEMP CONG  DALIA"|21.9
"530"|"COXAO MOLE"|28.2
"928"|"COSTELA DESOSSADA MINGA"|19.3
"103237"|"BIFE DO VAZIO CONG FRIBEV"|27.9
"509"|"MAMINHA DA ALCATRA"|34.7
"502"|"PEITO DE BOVINO"|23.8
